"filename", "language", "JavaScript", "JSON", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\client\src\dynamicPages\test.js", "JavaScript", 53, 0, 0, 0, 5, 10, 68
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\client\src\pages\404.js", "JavaScript", 11, 0, 0, 0, 0, 4, 15
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\client\src\pages\app.js", "JavaScript", 52, 0, 0, 0, 0, 4, 56
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\client\src\pages\index.js", "JavaScript", 18, 0, 0, 0, 0, 4, 22
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\client\src\pages\page-2.js", "JavaScript", 13, 0, 0, 0, 0, 4, 17
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\client\src\styles\mainTheme.js", "JavaScript", 26, 0, 0, 0, 0, 3, 29
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\config\keys.js", "JavaScript", 3, 0, 0, 0, 0, 0, 3
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\graphql\Resolvers\mainResolver.js", "JavaScript", 9, 0, 0, 0, 0, 2, 11
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\graphql\Resolvers\tasksResolver.js", "JavaScript", 54, 0, 0, 0, 8, 3, 65
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\graphql\Resolvers\topicsResolver.js", "JavaScript", 49, 0, 0, 0, 8, 3, 60
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\graphql\Resolvers\usersResolver.js", "JavaScript", 76, 0, 0, 0, 2, 6, 84
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\graphql\Schemas\mainSchema.js", "JavaScript", 78, 0, 0, 0, 0, 1, 79
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\middleware\is-authenticated.js", "JavaScript", 27, 0, 0, 0, 0, 1, 28
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\models\roadmap.js", "JavaScript", 13, 0, 0, 0, 1, 3, 17
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\models\task.js", "JavaScript", 33, 0, 0, 0, 0, 1, 34
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\models\topic.js", "JavaScript", 19, 0, 0, 0, 0, 1, 20
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\models\user.js", "JavaScript", 29, 0, 0, 0, 0, 2, 31
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\package-lock.json", "JSON", 0, 1942, 0, 0, 0, 1, 1943
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\package.json", "JSON", 0, 29, 0, 0, 0, 1, 30
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\routes\api\roadmapItems.js", "JavaScript", 21, 0, 0, 0, 10, 8, 39
"c:\Users\doman\OneDrive\Stalinis kompiuteris\Web\7 semestras\WebSuGit\TimeBoxIt\server.js", "JavaScript", 25, 0, 0, 0, 6, 17, 48
"Total", "-", 2091, 20885, 63, 0, 733, 260, 24032
